feature,mean_importance
tvv_hal1,0.0
tvv_hc,0.0
tvv_he15u,0.0
tvv_hf4,0.0
tvv_hs19,0.0
tvv_ksp130l,0.0
tvv_ksp13f,0.0
tvv_lfa10l,0.0
tvv_lfa10r,0.0
tvv_gyl10r,0.0
cnit_m10mcdvpgw7j471,0.0
cnit_m10mcdvpgw7j470,0.0
cnit_m10mcdvpgw7j435,0.0
cnit_m10mcdvp3243293,0.0
cnit_m10mcdvp324e534,0.0
cnit_m10mcdvpgu4z323,0.0
cnit_m10mcdvpgw70416,0.0
cnit_m10mcdvpgw70452,0.0
cnit_m10mcdvpgw70549,0.0
cnit_m10mcdvpgw70646,0.0
cnit_m10mcdvpgw70707,0.0
cnit_m10mcdvpgw71514,0.0
cnit_m10mcdvpgw71611,0.0
cnit_m10lncvp000r207,0.0
cnit_m10mcdvpgw71647,0.0
cnit_m10mcdvpgw71744,0.0
cnit_m10mcdvpgw72418,0.0
cnit_m10mcdvpgw72454,0.0
cnit_m10mcdvpgw72551,0.0
cnit_m10mcdvpgw72612,0.0
cnit_m10mcdvpgw72648,0.0
cnit_m10mcdvpgw72709,0.0
cnit_m10mcdvpgw73419,0.0
cnit_m10mcdvpgw73455,0.0
cnit_m10mcdvpgw73516,0.0
cnit_m10mcdvpgw71708,0.0
cnit_m10fatvp026f862,0.0
cnit_m10fatvp0265852,0.0
cnit_m10fatvp0262849,0.0
lib_mod_doss,0.0
lib_mod,0.0
dscom,0.0
hybride,0.0
puiss_admin_98,0.0
puiss_max,0.0
typ_boite_nb_rapp,0.0
co_typ_1,0.0
nox,0.0
ptcl,0.0
masse_ordma_min,0.0
masse_ordma_max,0.0
champ_v9,0.0
Carrosserie,0.0
gamme,0.0
cnit_m10alfvp0000324,0.0
cnit_m10alfvp000p445,0.0
cnit_m10dacvp0008731,0.0
cnit_m10fatvp0008360,0.0
cnit_m10fatvp001j854,0.0
cnit_m10fatvp001k565,0.0
cnit_m10fatvp001m592,0.0
cnit_m10fatvp007r335,0.0
tvv_zwa10r,0.0
cnit_m10mcdvpgw73649,0.0
cnit_m10mcdvpgw73552,0.0
cnit_m10mcdvpgw73746,0.0
cnit_m10mcdvpgw73710,0.0
cnit_m10mcdvpgw7f564,0.0
cnit_m10mcdvpgw7f589,0.0
cnit_m10mcdvpgw7f625,0.0
cnit_m10mcdvpgw7f661,0.0
cnit_m10mcdvpgw7f722,0.0
cnit_m10mcdvpgw7f783,0.0
cnit_m10mcdvpgw7g468,0.0
cnit_m10mcdvpgw7g493,0.0
cnit_m10mcdvpgw7g565,0.0
cnit_m10mcdvpgw7g590,0.0
cnit_m10mcdvpgw7g626,0.0
cnit_m10mcdvpgw7g662,0.0
cnit_m10mcdvpgw7g687,0.0
cnit_m10mcdvpgw7h433,0.0
cnit_m10mcdvpgw7h469,0.0
cnit_m10mcdvpgw7h494,0.0
cnit_m10mcdvpgw7h566,0.0
cnit_m10mcdvpgw7h663,0.0
cnit_m10mcdvpgw7h724,0.0
cnit_m10mcdvpgw7h785,0.0
cnit_m10mcdvpgw7j302,0.0
cnit_m10mcdvpgw7j434,0.0
cnit_m10mcdvpgw7e757,0.0
cnit_m10mcdvpgw7e685,0.0
cnit_m10mcdvpgw7f492,0.0
cnit_m10mcdvpgw7e563,0.0
cnit_m10mcdvpgw74456,0.0
cnit_m10mcdvpgw74553,0.0
cnit_m10mcdvpgw74747,0.0
cnit_m10mcdvpgw75615,0.0
cnit_m10mcdvpgw75712,0.0
cnit_m10mcdvpgw76458,0.0
cnit_m10mcdvpgw76616,0.0
cnit_m10mcdvpgw7b427,0.0
cnit_m10mcdvpgw7b488,0.0
cnit_m10mcdvpgw7e588,0.0
cnit_m10mcdvpgw7c428,0.0
cnit_m10mcdvpgw7b524,0.0
cnit_m10mcdvpgw7c561,0.0
cnit_m10mcdvpgw7e527,0.0
cnit_m10mcdvpgw7e430,0.0
cnit_m10mcdvpgw7d756,0.0
cnit_m10mcdvpgw7d684,0.0
cnit_m10mcdvpgw7d587,0.0
cnit_m10mcdvpgw7c464,0.0
cnit_m10mcdvpgw7c780,0.0
cnit_m10mcdvpgw7c658,0.0
cnit_m10mcdvpgw7c622,0.0
cnit_m10mcdvpgw7c586,0.0
cnit_m10mcdvpgw7c719,0.0
tvv_zwe186,0.0
cod_cbr,17.26660383625731
conso_urb,68.50076069456745
conso_mixte,280.47483620409486
conso_exurb,1952.3020862313479
