feature,shap_importance
cnit_m10mcdvpgw7c780,0.0
cnit_m10mcdvpgw7j567,0.0
cnit_m10mcdvpgw7j592,0.0
tvv_ale20,0.0
cnit_m10mcdvpgw73746,0.0
cnit_m10mcdvpgw72551,0.0
cnit_m10mcdvpgw7d684,0.0
cnit_m10mcdvpgw72612,0.0
cnit_m10mcdvpgw72648,0.0
cnit_m10mcdvpgw72709,0.0
tvv_aetlhw,0.0
cnit_m10mcdvpgw73419,0.0
cnit_m10mcdvpgw73455,0.0
cnit_m10mcdvpgw73516,0.0
cnit_m10mcdvpgw73552,0.0
cnit_m10mcdvpgw73649,0.0
tvv_3e,0.0
cnit_m10mcdvpgw73710,0.0
tvv_2k,0.0
cnit_m10mcdvpgw74456,0.0
cnit_m10mcdvpgw7j629,0.0
tvv_2f,0.0
cnit_m10mcdvpgw75615,0.0
cnit_m10mcdvpgw75712,0.0
cnit_m10mcdvpgw76458,0.0
cnit_m10mcdvpgw76616,0.0
tvv_1j,0.0
cnit_m10mcdvpgw7b488,0.0
cnit_m10mcdvpgw7b524,0.0
tvv_1a,0.0
cnit_m10mcdvpgw7c428,0.0
tvv_00,0.0
cnit_m10mcdvpgw7c464,0.0
cnit_m10mcdvpgw7c561,0.0
cnit_m10mcdvpgw7j690,0.0
tvv_zwe186,0.0
