feature,mean_importance
cnit_m10mcdvpgw71514,0.0
cnit_m10mcdvpgw70707,0.0
cnit_m10alfvp0000324,0.0
cnit_m10alfvp000p445,0.0
cnit_m10dacvp0008731,0.0
cnit_m10fatvp0008360,0.0
cnit_m10fatvp001j854,0.0
cnit_m10fatvp001k565,0.0
cnit_m10fatvp001m592,0.0
cnit_m10fatvp007r335,0.0
cnit_m10fatvp0262849,0.0
cnit_m10fatvp0265852,0.0
cnit_m10fatvp026f862,0.0
cnit_m10lncvp000r207,0.0
cnit_m10mcdvp3243293,0.0
cnit_m10mcdvp324e534,0.0
cnit_m10mcdvpgu4z323,0.0
cnit_m10mcdvpgw70416,0.0
cnit_m10mcdvpgw70452,0.0
cnit_m10mcdvpgw70549,0.0
cnit_m10mcdvpgw70646,0.0
cnit_m10mcdvpgw75615,0.0
cnit_m10mcdvpgw75712,0.0
cnit_m10mcdvpgw73455,0.0
cnit_m10mcdvpgw76616,0.0
cnit_m10mcdvpgw7e685,0.0
cnit_m10mcdvpgw7e757,0.0
cnit_m10mcdvpgw7f492,0.0
cnit_m10mcdvpgw7f564,0.0
cnit_m10mcdvpgw7f589,0.0
cnit_m10mcdvpgw7f625,0.0
cnit_m10mcdvpgw7f661,0.0
cnit_m10mcdvpgw7f722,0.0
cnit_m10mcdvpgw7f783,0.0
cnit_m10mcdvpgw7e588,0.0
cnit_m10mcdvpgw76458,0.0
cnit_m10mcdvpgw7g565,0.0
cnit_m10mcdvpgw7g590,0.0
cnit_m10mcdvpgw7g626,0.0
cnit_m10mcdvpgw7g662,0.0
cnit_m10mcdvpgw7g687,0.0
cnit_m10mcdvpgw7h433,0.0
cnit_m10mcdvpgw7h469,0.0
cnit_m10mcdvpgw7h494,0.0
cnit_m10mcdvpgw7h566,0.0
cnit_m10mcdvpgw7g493,0.0
cnit_m10mcdvpgw7e563,0.0
cnit_m10mcdvpgw7g468,0.0
cnit_m10mcdvpgw7e527,0.0
cnit_m10mcdvpgw7b488,0.0
cnit_m10mcdvpgw7b524,0.0
cnit_m10mcdvpgw7c428,0.0
cnit_m10mcdvpgw7c464,0.0
cnit_m10mcdvpgw7c561,0.0
cnit_m10mcdvpgw7c586,0.0
cnit_m10mcdvpgw7c622,0.0
cnit_m10mcdvpgw7b427,0.0
cnit_m10mcdvpgw7c719,0.0
cnit_m10mcdvpgw7c780,0.0
cnit_m10mcdvpgw7d587,0.0
cnit_m10mcdvpgw7c658,0.0
cnit_m10mcdvpgw7e430,0.0
cnit_m10mcdvpgw7d756,0.0
cnit_m10mcdvpgw7d684,0.0
tvv_hs19,3.3746893491910098e-09
tvv_bexqhw,4.647865431070541e-09
tvv_639,1.8380052178206332e-08
tvv_1l,6.236606333775897e-08
tvv_mc,2.748956057311994e-07
tvv_betqhw,4.1141136818457784e-07
tvv_awl10,9.407295861352683e-07
tvv_xe2,2.7435226824100867e-06
tvv_906ac35,6.135967548423385e-06
Carrosserie,1.263786623206249e-05
tvv_ps,1.7718029392096947e-05
ptcl,2.473621772707288e-05
dscom,3.08864807659504e-05
lib_mod,5.683805449294874e-05
hybride,6.073301544506369e-05
champ_v9,6.946703227824098e-05
puiss_max,0.00011384751276161752
gamme,0.00014549120522710816
lib_mod_doss,0.00036128238922062794
typ_boite_nb_rapp,0.000977128345576793
co_typ_1,0.0016503562524593702
lib_mrq,0.0022329578200898223
masse_ordma_min,0.004214269497861667
nox,0.014753587975006732
puiss_admin_98,0.01724463063090169
cod_cbr,0.02082781435913705
masse_ordma_max,0.02638091476916953
conso_urb,0.02953817931503013
conso_mixte,0.2895658406681303
conso_exurb,1.282496491078477
